nohup: ignoring input
Initializing PlaNet Reimplementation on CarRacing-v2
Logging to benchmark/03_planet_rssm/2026-04-14-1776190441
Pre-filling buffer...
Step 1500 | Return: -68.31
Step 2500 | Return: -55.41
Step 3500 | Return: 51.20
Step 4012 | Return: -38.82
Step 4262 | Return: -39.63
Step 5262 | Return: 6.01
Step 6262 | Return: -57.75
Step 6875 | Return: -103.77
Step 7129 | Return: -52.84
Step 8129 | Return: 22.61
Step 8810 | Return: 31.05
Step 9810 | Return: -46.59
Step 10810 | Return: 4.89
Step 11810 | Return: -59.71
Step 12810 | Return: -73.18
Step 13810 | Return: -4.26
Step 14810 | Return: -47.85
Step 15810 | Return: -72.22
Step 16810 | Return: -50.35
Step 17810 | Return: -58.33
Step 18810 | Return: -70.04
Step 19810 | Return: -52.38
Step 20810 | Return: -67.21
Step 21810 | Return: -47.58
Step 22810 | Return: -74.03
Step 23810 | Return: -64.41
Step 24810 | Return: -71.06
Step 25810 | Return: 58.10
Step 26810 | Return: -27.67
Step 27343 | Return: -83.89
Step 28343 | Return: 4.32
Step 29343 | Return: 7.03
Step 30343 | Return: -76.82
Step 31343 | Return: -79.38
Step 31794 | Return: -69.66
Step 32794 | Return: -66.78
Step 33794 | Return: -66.26
Step 34145 | Return: -79.25
Step 34616 | Return: -99.05
Step 35616 | Return: -54.55
Step 35983 | Return: -112.71
Step 36983 | Return: 4.25
Step 37205 | Return: -56.31
Step 38205 | Return: -34.48
Step 39205 | Return: -23.08
Step 39813 | Return: -117.22
Step 40813 | Return: -63.70
Step 41738 | Return: -91.68
Step 42738 | Return: -81.41
Step 43738 | Return: -60.13
Step 44738 | Return: 9.64
Step 45738 | Return: -28.57
Step 45967 | Return: -20.84
Step 46139 | Return: -69.48
Step 47139 | Return: -15.19
Step 47476 | Return: -87.97
Step 47643 | Return: -71.93
Step 47809 | Return: -74.70
Step 47993 | Return: -77.76
Step 48160 | Return: -80.50
Step 48381 | Return: -62.97
Step 48604 | Return: -70.54
Step 48819 | Return: -48.48
Step 49018 | Return: -83.30
Step 50018 | Return: -36.24
Step 51018 | Return: -64.54
Step 52018 | Return: -79.31
Step 53018 | Return: -83.92
Step 54018 | Return: -76.56
Step 55018 | Return: -77.78
Step 55601 | Return: -130.80
Step 56601 | Return: -62.84
Step 57601 | Return: 3.32
Step 57890 | Return: -1.99
Step 58890 | Return: 44.41
Step 59890 | Return: -47.69
Step 60890 | Return: 17.22
Step 61890 | Return: 16.61
Step 62890 | Return: -76.19
Step 63890 | Return: -72.41
Step 64890 | Return: -71.70
Step 65890 | Return: 52.67
Step 66890 | Return: -29.10
Step 67890 | Return: 39.46
Step 68890 | Return: 85.41
Step 69890 | Return: -38.93
Step 70890 | Return: -9.42
Step 71890 | Return: 11.97
Step 72890 | Return: -2.36
Step 73890 | Return: -29.17
Step 74890 | Return: -60.66
Step 75492 | Return: -107.63
Step 76492 | Return: 48.87
Step 77492 | Return: -6.75
Step 78350 | Return: -65.84
Step 79151 | Return: -146.22
Step 80151 | Return: -1.02
Step 81151 | Return: -42.12
Step 81519 | Return: -76.82
Step 82519 | Return: 5.84
Step 83130 | Return: -98.72
Step 83390 | Return: -61.28
Step 84055 | Return: -116.90
Step 85055 | Return: -60.53
Step 86055 | Return: -32.72
Step 86754 | Return: -101.62
Step 87754 | Return: -46.13
Step 88754 | Return: -50.49
Step 89754 | Return: -5.08
Step 90754 | Return: 1.97
Step 91754 | Return: -54.69
Step 92754 | Return: -55.93
Step 93754 | Return: -38.85
Step 94754 | Return: -50.82
Step 95754 | Return: -49.61
Step 96754 | Return: -32.38
Step 97754 | Return: -54.69
Step 98754 | Return: -51.49
Step 99754 | Return: -51.22
